method,params,n_queries,recall@k,DAF,success_%,avg_search_ms,avg_post_ms,avg_scanned
l2ivf_cartesian,nlist=0_nprobe=16_over=100,200,0.935,1.0044709817764288,100.0,7.790043354034424,19.607568979263306,1340.555
l2ivf_cartesian,nlist=0_nprobe=1_over=100,200,0.4070000000000001,1.1105386555944416,100.0,5.350574254989624,20.584237575531006,625.335
l2ivf_cartesian,nlist=0_nprobe=2_over=100,200,0.5680000000000001,1.0591143891203902,100.0,6.608779430389404,20.738707780838013,1118.075
l2ivf_cartesian,nlist=0_nprobe=32_over=100,200,0.976,1.0008546773784213,100.0,8.124629259109497,18.415645360946655,1340.555
l2ivf_cartesian,nlist=0_nprobe=4_over=100,200,0.7380000000000001,1.0285425089575135,100.0,7.473301887512207,21.119279861450195,1340.265
l2ivf_cartesian,nlist=0_nprobe=8_over=100,200,0.8580000000000002,1.0130675191262801,100.0,7.559465169906616,20.10093331336975,1340.555
l2lsh_cartesian,c=2.0_r=595.648_w=800.0_ell=256_mu=0_delta=0.1,200,0.2770000000000002,1.2267177262227396,100.0,315.1190483570099,24.703110456466675,67453.955
l2lsh_cartesian,c=2.0_r=595.648_w=800.0_ell=32_mu=0_delta=0.1,200,0.14599999999999977,1.338757904638478,100.0,35.99421262741089,18.180614709854126,8452.355
l2lsh_cartesian,c=2.0_r=595.648_w=800.0_ell=32_mu=2_delta=0.1,200,0.02700000000000001,1.7138454493654702,100.0,172.45193481445312,19.77029800415039,8452.355
l2lsh_cartesian,c=2.0_r=595.648_w=800.0_ell=64_mu=0_delta=0.1,200,0.15699999999999975,1.3183868301443455,100.0,39113.29481005669,138.08190822601318,16881.155
l2lsh_cartesian,c=2.0_r=595.648_w=800.0_ell=8_mu=2_delta=0.1,200,0.006999999999999999,2.041244645357131,100.0,59.68279838562012,16.032012701034546,2130.755
