method,params,n_queries,recall@k,success_%,avg_search_ms,avg_post_ms,avg_scanned
l2lsh_cartesian,c=2.0_r=3.120_w=10.0_ell=16_mu=2_delta=0.1,200,0.4275,100.0,127.41306662559509,0.9265303611755371,19964.09
l2lsh_cartesian,c=2.0_r=3.120_w=4.0_ell=128_mu=2_delta=0.1,200,0.746,100.0,517.5882625579834,0.9224271774291992,61238.07
l2lsh_cartesian,c=2.0_r=3.120_w=4.0_ell=16_mu=1_delta=0.1,200,0.428,100.0,112.88006901741028,0.8981645107269287,19964.03
l2lsh_cartesian,c=2.0_r=3.120_w=4.0_ell=16_mu=2_delta=0.1,200,0.429,100.0,99.02862310409546,0.8605945110321045,19920.09
l2lsh_cartesian,c=2.0_r=3.120_w=4.0_ell=16_mu=4_delta=0.1,200,0.4475,100.0,87.77119994163513,0.8938717842102051,17649.81
l2lsh_cartesian,c=2.0_r=3.120_w=4.0_ell=16_mu=8_delta=0.1,200,0.322,100.0,48.288739919662476,0.842517614364624,6637.09
l2lsh_cartesian,c=2.0_r=3.120_w=4.0_ell=32_mu=2_delta=0.1,200,0.5285,100.0,183.3633542060852,0.9061586856842041,30821.55
l2lsh_cartesian,c=2.0_r=3.120_w=4.0_ell=64_mu=2_delta=0.1,200,0.6455,100.0,318.28778862953186,0.9555149078369141,45287.755
l2lsh_cartesian,c=2.0_r=3.120_w=4.0_ell=8_mu=2_delta=0.1,200,0.344,100.0,62.178767919540405,0.9010732173919678,12344.385
l2lsh_cartesian,c=2.0_r=3.120_w=6.0_ell=16_mu=2_delta=0.1,200,0.4275,100.0,115.03517985343933,0.9308552742004395,19963.31
l2lsh_cartesian,c=2.0_r=3.120_w=8.0_ell=16_mu=2_delta=0.1,200,0.4285,100.0,123.81325721740723,0.9145057201385498,19964.07
l2lsh_joint,c=2.0_r=3.120_w=10.0_ell=16_mu=2_delta=0.1,200,0.065,23.0,134.6423159474912,0.674760859945546,22933.282608695652
l2lsh_joint,c=2.0_r=3.120_w=4.0_ell=128_mu=2_delta=0.1,200,0.1115,23.0,620.2434612357098,0.6819030512934146,72862.10869565218
l2lsh_joint,c=2.0_r=3.120_w=4.0_ell=16_mu=1_delta=0.1,200,0.0645,23.0,129.82051787169084,0.6676964137865149,22933.17391304348
l2lsh_joint,c=2.0_r=3.120_w=4.0_ell=16_mu=2_delta=0.1,200,0.065,23.0,118.4257113415262,0.6755538608716882,22886.304347826088
l2lsh_joint,c=2.0_r=3.120_w=4.0_ell=16_mu=4_delta=0.1,200,0.0665,23.0,97.5294890611068,0.6569779437521229,20560.521739130436
l2lsh_joint,c=2.0_r=3.120_w=4.0_ell=16_mu=8_delta=0.1,200,0.0605,22.0,53.88096245852384,0.6494576280767267,8334.09090909091
l2lsh_joint,c=2.0_r=3.120_w=4.0_ell=32_mu=2_delta=0.1,200,0.081,23.0,205.7110952294391,0.6730297337407651,35944.54347826087
l2lsh_joint,c=2.0_r=3.120_w=4.0_ell=64_mu=2_delta=0.1,200,0.098,23.0,357.6776048411494,0.6789798321931259,53463.97826086957
l2lsh_joint,c=2.0_r=3.120_w=4.0_ell=8_mu=2_delta=0.1,200,0.053,23.0,68.68281053460163,0.65042143282683,14036.869565217392
l2lsh_joint,c=2.0_r=3.120_w=6.0_ell=16_mu=2_delta=0.1,200,0.0645,23.0,127.26196517115054,0.675895939702573,22932.521739130436
l2lsh_joint,c=2.0_r=3.120_w=8.0_ell=16_mu=2_delta=0.1,200,0.0645,23.0,132.67126808995786,0.6837844848632812,22933.282608695652
l2lsh_single,c=2.0_r=3.120_w=10.0_ell=16_mu=2_delta=0.1,200,0.019000000000000003,47.5,108.90844746639854,0.8547908381411904,1950.5473684210526
l2lsh_single,c=2.0_r=3.120_w=4.0_ell=128_mu=2_delta=0.1,200,0.068,42.5,560.6020955478443,0.8213295656092027,15390.823529411764
l2lsh_single,c=2.0_r=3.120_w=4.0_ell=16_mu=1_delta=0.1,200,0.018500000000000003,47.5,95.72448981435676,0.8286676908794203,1950.5157894736842
l2lsh_single,c=2.0_r=3.120_w=4.0_ell=16_mu=2_delta=0.1,200,0.019000000000000003,48.0,77.00957854588826,0.8404701948165894,1950.5833333333333
l2lsh_single,c=2.0_r=3.120_w=4.0_ell=16_mu=4_delta=0.1,200,0.022000000000000002,50.0,39.56049203872681,0.8024811744689941,1950.45
l2lsh_single,c=2.0_r=3.120_w=4.0_ell=16_mu=8_delta=0.1,200,0.0495,46.5,9.04690065691548,0.7435455117174374,1928.4301075268818
l2lsh_single,c=2.0_r=3.120_w=4.0_ell=32_mu=2_delta=0.1,200,0.025500000000000002,48.0,177.9938961068789,0.8770401279131571,3870.5208333333335
l2lsh_single,c=2.0_r=3.120_w=4.0_ell=64_mu=2_delta=0.1,200,0.0415,45.5,289.24214184939206,8.840600212851724,7710.7692307692305
l2lsh_single,c=2.0_r=3.120_w=4.0_ell=8_mu=2_delta=0.1,200,0.01,51.5,45.185061334406285,0.8334511692084156,990.7184466019418
l2lsh_single,c=2.0_r=3.120_w=6.0_ell=16_mu=2_delta=0.1,200,0.019000000000000003,47.5,92.27552162973504,0.8500601115979647,1950.5473684210526
l2lsh_single,c=2.0_r=3.120_w=8.0_ell=16_mu=2_delta=0.1,200,0.019000000000000003,47.5,102.80407102484452,0.830640290912829,1950.5473684210526
